aid,trattato,w,subclass,campo,g_adopt,non_cs
5052565959,1,1,6609,Computer Science,2021,0
5052566827,1,1,6610,Computer Science,2021,0
5052567034,0,1,10341,Computer Science,NA,0
5052585023,0,1,11167,Earth and Planetary Sciences,NA,1
5052591181,1,1,6611,"Biochemistry, Genetics and Molecular Biology",2021,1
5052594325,0,1,7377,Engineering,NA,1
5052594698,1,1,6612,Computer Science,2022,0
5052602741,0,1,2084,Computer Science,NA,0
5052607806,0,1,12701,Computer Science,NA,0
5052618226,1,1,6613,Engineering,2022,1
5052623455,0,1,3253,Computer Science,NA,0
5052625345,0,1,13985,Arts and Humanities,NA,1
5052630971,0,1,3440,Computer Science,NA,0
5052630982,1,1,6614,Immunology and Microbiology,2020,1
5052631267,1,1,6615,Engineering,2021,1
5052634198,0,1,15311,Social Sciences,NA,1
5052639870,1,1,6616,Engineering,2022,1
5052644952,1,1,6617,Computer Science,2020,0
5052654998,0,1,16642,Computer Science,NA,0
5052655362,1,1,6618,Psychology,2022,1
5052660806,1,1,6619,Computer Science,2020,0
5052663025,0,1,16181,Earth and Planetary Sciences,NA,1
5052665170,0,1,16625,Computer Science,NA,0
5052666922,0,1,2885,"Biochemistry, Genetics and Molecular Biology",NA,1
5052669287,1,1,6620,Computer Science,2022,0
5052669359,1,1,6621,Computer Science,2022,0
5052678450,0,1,12604,Engineering,NA,1
5052680051,0,1,2602,Computer Science,NA,0
5052681145,1,1,6622,Computer Science,2022,0
5052689356,1,1,6623,Computer Science,2020,0
5052689516,0,1,7166,Computer Science,NA,0
5052694715,0,1,15421,Environmental Science,NA,1
5052699137,0,1,4287,Environmental Science,NA,1
5052704820,0,1,16725,Engineering,NA,1
5052709846,1,1,6624,Computer Science,2021,0
5052716347,0,1,9324,Engineering,NA,1
5052718891,1,1,6625,Engineering,2021,1
5052725404,1,1,6626,Computer Science,2021,0
5052726224,0,1,13776,Materials Science,NA,1
5052726702,0,1,5332,Mathematics,NA,1
5052741228,1,1,6627,Computer Science,2021,0
5052742919,0,1,6220,Psychology,NA,1
5052746677,0,1,4805,Engineering,NA,1
5052754690,1,1,6628,Computer Science,2021,0
5052755615,1,1,6629,Medicine,2022,1
5052758633,1,1,6630,Computer Science,2022,0
5052760192,1,1,6631,Computer Science,2021,0
5052760299,1,1,6632,Computer Science,2022,0
5052762681,0,1,96,Computer Science,NA,0
5052767879,1,1,6633,Computer Science,2022,0
5052773521,0,1,8068,Computer Science,NA,0
5052775912,1,1,6634,Computer Science,2022,0
5052776282,1,1,6635,Computer Science,2021,0
5052783352,1,1,6636,Computer Science,2022,0
5052786198,0,1,3928,Engineering,NA,1
5052790953,1,1,6637,Computer Science,2021,0
5052791627,0,1,9504,"Biochemistry, Genetics and Molecular Biology",NA,1
5052796032,0,1,9037,Computer Science,NA,0
5052802142,0,1,14274,Earth and Planetary Sciences,NA,1
5052810907,1,1,6638,Computer Science,2021,0
5052816488,1,1,6639,Computer Science,2021,0
5052820694,1,1,6640,Computer Science,2022,0
5052821782,1,1,6641,Engineering,2021,1
5052823918,0,1,7385,Computer Science,NA,0
5052824688,0,1,16514,"Biochemistry, Genetics and Molecular Biology",NA,1
5052827730,0,1,4668,Psychology,NA,1
5052828153,0,1,13305,Computer Science,NA,0
5052829033,1,1,6642,Computer Science,2022,0
5052831097,0,1,4882,"Biochemistry, Genetics and Molecular Biology",NA,1
5052831869,1,1,6643,Computer Science,2021,0
5052833933,0,1,9922,Engineering,NA,1
5052838340,1,1,6644,Medicine,2021,1
5052844875,1,1,6645,Computer Science,2021,0
5052847653,1,1,6646,Computer Science,2022,0
5052848066,1,1,6647,Engineering,2022,1
5052851316,1,1,6648,"Biochemistry, Genetics and Molecular Biology",2022,1
5052856441,1,1,6649,Computer Science,2021,0
5052866810,0,1,4414,Environmental Science,NA,1
5052872709,0,1,7550,Computer Science,NA,0
5052873147,0,1,13078,Computer Science,NA,0
5052874187,1,1,6650,Computer Science,2019,0
5052875434,1,1,6651,Computer Science,2021,0
5052879509,0,1,15775,Computer Science,NA,0
5052882179,1,1,6652,Medicine,2022,1
5052882677,1,1,6653,Computer Science,2019,0
5052882844,0,1,9424,Engineering,NA,1
5052886607,0,1,8446,Decision Sciences,NA,1
5052897020,1,1,6654,Computer Science,2020,0
5052898875,0,1,3793,Computer Science,NA,0
5052900932,1,1,6655,Computer Science,2019,0
5052901329,0,1,4341,Computer Science,NA,0
5052903244,1,1,6656,Medicine,2022,1
5052904035,1,1,6657,Computer Science,2021,0
5052904094,0,1,4754,Physics and Astronomy,NA,1
5052905922,1,1,6658,Medicine,2022,1
5052909911,1,1,6659,Computer Science,2020,0
5052912369,0,1,9910,Medicine,NA,1
5052917688,1,1,6660,Computer Science,2021,0
5052922969,1,1,6661,Computer Science,2021,0
5052923096,0,1,12953,Medicine,NA,1
5052927657,0,1,10097,Computer Science,NA,0
5052927737,1,1,6662,Computer Science,2022,0
5052931994,0,1,1551,Medicine,NA,1
5052933412,1,1,6663,Computer Science,2020,0
5052937691,0,1,1456,Medicine,NA,1
5052941224,1,1,6664,Engineering,2022,1
5052941970,0,1,6438,"Biochemistry, Genetics and Molecular Biology",NA,1
5052944237,0,1,5965,Engineering,NA,1
5052946868,0,1,8634,Engineering,NA,1
5052947690,0,1,15802,Computer Science,NA,0
5052947700,0,1,15375,Computer Science,NA,0
5052954560,1,1,6665,Computer Science,2021,0
5052954668,0,1,715,Computer Science,NA,0
