campo,anno,n_abs,n_parole,marc_per10k,ctrl_per10k,rapporto
Agricultural and Biological Sciences,2019,1423,299200,0.5013368983957219,166.14304812834226,0.0030175015087507543
Agricultural and Biological Sciences,2020,1422,290351,0.4477339495989337,170.96548660070053,0.0026188557614826753
Agricultural and Biological Sciences,2021,1440,299047,0.43471427568241783,176.62775416573314,0.0024611889435819764
Agricultural and Biological Sciences,2022,1449,307376,0.4880016657123523,178.80381031700588,0.0027292576419213972
Agricultural and Biological Sciences,2023,1457,317311,1.1660484508888755,185.30715922234023,0.006292517006802721
Agricultural and Biological Sciences,2024,1456,317168,2.9952580335973362,198.31761085607627,0.015103338632750398
Physics and Astronomy,2018,1419,238645,0.5866454356889941,185.21234469609672,0.003167420814479638
Physics and Astronomy,2019,1436,239287,0.7940255843401438,176.19009808305506,0.004506641366223909
Physics and Astronomy,2020,1449,248932,0.6829174232320473,162.0522873716517,0.00421417947446703
Physics and Astronomy,2021,1459,252285,1.1494936282379056,188.1998533404681,0.006107834877843303
Physics and Astronomy,2022,1458,253993,0.7874232754445989,196.54084955097187,0.004006410256410256
Physics and Astronomy,2023,1459,259648,1.5405472023662805,185.13526004436775,0.008321198252548368
Physics and Astronomy,2024,1454,261830,3.017224916930833,195.05022342741472,0.015468964166829842
Chemistry,2018,1390,205093,1.6090261491128415,162.46288269224206,0.009903961584633853
Chemistry,2019,1367,209810,1.7158381392688622,156.14127067346647,0.01098901098901099
Chemistry,2020,1385,229044,1.7027296065384816,152.1105115174377,0.011194029850746268
Chemistry,2021,1401,224986,2.0001244521881363,172.72185824895772,0.011580030880082347
Chemistry,2022,1382,210589,1.8994344433944792,173.03847779323706,0.010976948408342482
Chemistry,2023,1398,222618,3.18931982139809,177.74843004608792,0.017942886024766236
Chemistry,2024,1392,226724,6.5718671159647855,185.64421940332738,0.03540033262057496
Materials Science,2018,1392,233121,1.2010929946251088,177.24700906396248,0.006776379477250726
Materials Science,2019,1366,239069,1.0875521293015824,171.24763143694918,0.006350757205666829
Materials Science,2020,1374,264245,1.0974663664402353,130.74987227762114,0.008393632416787264
Materials Science,2021,1425,254946,1.2943917535478102,175.6842625497164,0.007367716008037508
Materials Science,2022,1429,261549,1.5675838944136662,171.13428076574561,0.009159964253798034
Materials Science,2023,1437,253540,2.9581131182456417,178.55170781730695,0.01656726308813784
Materials Science,2024,1435,267245,6.810230313008662,177.14082583397257,0.03844528939585974
Environmental Science,2018,1379,289065,0.6226973172123916,170.1347447805857,0.0036600244001626678
Environmental Science,2019,1393,295567,0.6428322512323771,169.36938156154105,0.0037954454654414702
Environmental Science,2020,1401,294915,0.3051726768729973,182.2219961683875,0.0016747301823595087
Environmental Science,2021,1431,314004,0.5732411052088509,182.54544528095184,0.00314026517794836
Environmental Science,2022,1447,324260,0.4009128477147968,195.64546968482082,0.0020491803278688526
Environmental Science,2023,1442,323754,1.4826071646991235,186.06719916973998,0.00796812749003984
Environmental Science,2024,1445,326149,4.629785772760303,202.36149735243708,0.02287878787878788
